id,name,set,lang,condition,is_foil,format,quantity,price_clp,image_url,status,price_usd_ref,seller_name,seller_phone,price_source
410,Acechador del cementerio marino,MH3,es,NM,false,Modern,20251205,500,Acechador del cementerio marino - MH3 - es - NM - 20251205_155029.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
411,Acechador del cementerio marino,MH3,es,NM,false,Modern,20251205,500,Acechador del cementerio marino - MH3 - es - NM - 20251205_155037.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
412,Acero esculpido,MOC,es,NM,false,Modern,20251205,1718,Acero esculpido - - es - NM - 20251205_153438.jpg,available,2.29,FrancoArenas,56990590045,cardkingdom
413,Adaptador myr,MRD,es,NM,false,Modern,20251205,500,Adaptador myr - - es - NM - 20251205_153403.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
414,Adaptador myr,MRD,es,NM,false,Modern,20251205,500,Adaptador myr - - es - NM - 20251205_153406.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
415,Adaptador myr,MRD,es,NM,false,Modern,20251205,500,Adaptador myr - - es - NM - 20251205_153409.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
416,Adaptador myr,MRD,es,NM,false,Modern,20251205,500,Adaptador myr - - es - NM - 20251205_153441.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
417,Adaptador myr,MRD,es,NM,false,Modern,20251205,500,Adaptador myr - - es - NM - 20251205_153528.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
418,Adaptador myr,MRD,es,NM,false,Modern,20251205,500,Adaptador myr - - es - NM - 20251205_153533.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
419,Adaptador myr,MRD,es,NM,false,Modern,20251205,500,Adaptador myr - - es - NM - 20251205_153703.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
420,Adaptador myr,MRD,es,NM,false,Modern,20251205,500,Adaptador myr - MKM - es - NM - 20251205_153530.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
140,Aeronaut's Wings,BRO,en,NM,false,Modern,20251125,500,Aeronaut's Wings - BRO - en - NM - 20251125_194608.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
141,Aerovela néurok,MRD,es,NM,false,Modern,20251125,500,Aerovela néurok - - es - NM - 20251125_193003.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
142,Aerovela néurok,MRD,es,NM,false,Modern,20251125,500,Aerovela néurok - - es - NM - 20251125_193200.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
143,Aerovela néurok,MRD,es,NM,false,Modern,20251125,500,Aerovela néurok - - es - NM - 20251125_193203.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
144,Aerovela néurok,MRD,es,NM,false,Modern,20251125,500,Aerovela néurok - - es - NM - 20251125_193206.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
784,Aethermage's Touch,2X2,en,NM,false,Modern,20251205,500,Aethermage's Touch - 2X2 - en - NM - 20251205_235916.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
785,Drowner of Truth // Drowned Jungle,MH3,es,NM,false,Modern,20251206,500,Ahogador de la verdad - MH3 - es - NM - 20251206_000301.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
786,Ahogar en el lago,CLB,es,NM,false,Modern,20251206,1118,Ahogar en el lago - - es - NM_FOIL - 20251206_000345.jpg,available,1.49,FrancoArenas,56990590045,cardkingdom
787,Ahogar en el lago,CLB,es,NM,false,Modern,20251206,1118,Ahogar en el lago - C17 - es - NM - 20251206_000348.jpg,available,1.49,FrancoArenas,56990590045,cardkingdom
145,Alas de aeronauta,BRO,es,NM,false,Modern,20251125,500,Alas de aeronauta - BRO - es - NM - 20251125_194626.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
146,Alpha Myr,MRD,en,NM,false,Modern,20251125,500,Alpha Myr - - en - NM - 20251125_194750.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
421,Altar de sombras,MRD,es,NM,false,Modern,20251205,500,Altar de sombras - - es - NM - 20251205_155016.jpg,available,0.49,FrancoArenas,56990590045,cardkingdom
147,Arco largo viridiano,AFC,es,NM,false,Modern,20251125,968,Arco largo viridiano - - es - NM - 20251125_192837.jpg,available,1.29,FrancoArenas,56990590045,cardkingdom
148,Arco largo viridiano,AFC,es,NM,false,Modern,20251125,968,Arco largo viridiano - - es - NM - 20251125_192849.jpg,available,1.29,FrancoArenas,56990590045,cardkingdom
149,Arco largo viridiano,AFC,es,NM,false,Modern,20251125,968,Arco largo viridiano - - es - NM - 20251125_192851.jpg,available,1.29,FrancoArenas,56990590045,cardkingdom
150,Arco largo viridiano,AFC,es,NM,false,Modern,20251125,968,Arco largo viridiano - - es - NM - 20251125_192943.jpg,available,1.29,FrancoArenas,56990590045,cardkingdom
151,Arco largo viridiano,AFC,es,NM,false,Modern,20251125,968,Arco largo viridiano - - es - NM - 20251125_192948.jpg,available,1.29,FrancoArenas,56990590045,cardkingdom
152,Arco largo viridiano,AFC,es,NM,false,Modern,20251125,968,Arco largo viridiano - - es - NM - 20251125_193058.jpg,available,1.29,FrancoArenas,56990590045,cardkingdom
153,Arco largo viridiano,AFC,es,NM,false,Modern,20251125,968,Arco largo viridiano - - es - NM - 20251125_193242.jpg,available,1.29,FrancoArenas,56990590045,cardkingdom
154,Armadura de sierpescoria,MRD,es,NM,false,Modern,20251125,1118,Armadura de sierpescoria - - es - NM - 20251125_192925.jpg,available,1.49,FrancoArenas,56990590045,cardkingdom
155,Armadura de sierpescoria,MRD,es,NM,false,Modern,20251125,1118,Armadura de sierpescoria - - es - NM - 20251125_193000.jpg,available,1.49,FrancoArenas,56990590045,cardkingdom
156,Armadura de sierpescoria,MRD,es,NM,false,Modern,20251125,1118,Armadura de sierpescoria - - es - NM - 20251125_193005.jpg,available,1.49,FrancoArenas,56990590045,cardkingdom
157,Armadura de sierpescoria,MRD,es,NM,false,Modern,20251125,1118,Armadura de sierpescoria - - es - NM - 20251125_193054.jpg,available,1.49,FrancoArenas,56990590045,cardkingdom
158,Armadura de sierpescoria,MRD,es,NM,false,Modern,20251125,1118,Armadura de sierpescoria - - es - NM - 20251125_193100.jpg,available,1.49,FrancoArenas,56990590045,cardkingdom
711,Arwen Undómiel,LTR,en,NM,true,Modern,20251205,500,Arwen Undómiel - LTR - en - NM_FOIL - 20251205_235116.jpg,available,0.49,FrancoArenas,56990590045,cardkingdom
788,Assault // Battery,INV,es,NM,false,Modern,20251205,500,Asalto - DMR - es - NM - 20251205_235337.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
712,Asalto terrestre,ZNC,es,NM,false,Modern,20251205,500,Asalto terrestre - - es - NM - 20251205_235220.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
422,Ascensor mercadiano,MMQ,es,NM,false,Legacy,20251205,500,Ascensor mercadiano - - es - NM - 20251205_153259.jpg,available,0.49,FrancoArenas,56990590045,cardkingdom
789,"Ashiok, Dream Render",WAR,en,NM,false,Modern,20251205,2242,"Ashiok, Dream Render - WAR - en - NM - 20251205_235335.jpg",available,2.99,FrancoArenas,56990590045,cardkingdom
790,"Ashiok, Dream Render",WAR,en,NM,false,Modern,20251205,2242,"Ashiok, Dream Render - WAR - en - NM - 20251205_235507.jpg",available,2.99,FrancoArenas,56990590045,cardkingdom
791,"Ashiok, Dream Render",WAR,en,NM,false,Modern,20251205,2242,"Ashiok, Dream Render - WAR - en - NM - 20251205_235515.jpg",available,2.99,FrancoArenas,56990590045,cardkingdom
792,"Ashiok, Dream Render",WAR,en,NM,false,Modern,20251205,2242,"Ashiok, Dream Render - WAR - en - NM - 20251205_235659.jpg",available,2.99,FrancoArenas,56990590045,cardkingdom
793,Asmoranomardicadaistinaculdacar,MH2,en,NM,false,Modern,20251206,518,Asmoranomardicadaistinaculdacar - MH2 - en - NM - 20251206_000407.jpg,available,0.69,FrancoArenas,56990590045,cardkingdom
794,Asmoranomardicadaistinaculdacar,MH2,en,NM,false,Modern,20251206,518,Asmoranomardicadaistinaculdacar - MH2 - en - NM - 20251206_000410.jpg,available,0.69,FrancoArenas,56990590045,cardkingdom
795,Asmoranomardicadaistinaculdacar,MH2,en,NM,false,Modern,20251206,518,Asmoranomardicadaistinaculdacar - MH2 - en - NM - 20251206_000434.jpg,available,0.69,FrancoArenas,56990590045,cardkingdom
796,Asmoranomardicadaistinaculdacar,MH2,es,NM,false,Modern,20251206,518,Asmoranomardicadaistinaculdacar - MH2 - es - NM - 20251206_000419.jpg,available,0.69,FrancoArenas,56990590045,cardkingdom
713,"Atarka, el Ocaso del Mundo",FRF,es,NM,false,Modern,20251205,518,"Atarka, el Ocaso del Mundo - FRF - es - NM - 20251205_235148.jpg",available,0.69,FrancoArenas,56990590045,cardkingdom
797,"Atarka, el Ocaso del Mundo",FRF,es,NM,false,Modern,20251206,518,"Atarka, el Ocaso del Mundo - FRF - es - NM - 20251206_000456.jpg",available,0.69,FrancoArenas,56990590045,cardkingdom
423,Automotor ruedaveloz,KLD,es,NM,false,Modern,20251205,500,Automotor ruedaveloz - KLD - es - NM - 20251205_154230.jpg,available,0.49,FrancoArenas,56990590045,cardkingdom
424,Automotor ruedaveloz,KLD,es,NM,false,Modern,20251205,500,Automotor ruedaveloz - KLD - es - NM - 20251205_154237.jpg,available,0.49,FrancoArenas,56990590045,cardkingdom
798,Azorius Guildmage,RVR,en,NM,true,Modern,20251206,500,Azorius Guildmage - RVR - en - NM_FOIL - 20251206_000441.jpg,available,0.49,FrancoArenas,56990590045,cardkingdom
714,Bacanal de destrucción,THS,es,NM,false,Modern,20251205,500,Bacanal de destrucción - - es - NM - 20251205_235227.jpg,available,0.39,FrancoArenas,56990590045,cardkingdom
715,"Baird, Argivian Recruiter",DMU,en,NM,false,Modern,20251205,500,"Baird, Argivian Recruiter - DMU - en - NM - 20251205_235119.jpg",available,0.35,FrancoArenas,56990590045,cardkingdom
159,Barrow-Blade,LTR,en,NM,false,Modern,20251125,500,Barrow-Blade - MEE - en - NM - 20251125_193334.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
716,Bartolomé del Presidio,LCI,en,NM,false,Modern,20251205,500,Bartolomé del Presidio - LCI - en - NM - 20251205_235310.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
799,Basta de mentiras,MKM,es,NM,false,Modern,20251206,742,Basta de mentiras - MKM - es - NM - 20251206_000326.jpg,available,0.99,FrancoArenas,56990590045,cardkingdom
800,Basta de mentiras,MKM,es,NM,true,Modern,20251206,742,Basta de mentiras - MKM - es - NM_FOIL - 20251206_000329.jpg,available,0.99,FrancoArenas,56990590045,cardkingdom
425,Bestiario del fraguavidas,AER,es,NM,false,Modern,20251205,592,Bestiario del fraguavidas - AER - es - NM - 20251205_153953.jpg,available,0.79,FrancoArenas,56990590045,cardkingdom
426,Bichoaguja,MRD,es,NM,false,Modern,20251205,500,Bichoaguja - - es - NM - 20251205_154246.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
427,Bichoaguja,MRD,es,NM,false,Modern,20251205,500,Bichoaguja - - es - NM - 20251205_154535.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
428,Bladegriff Prototype,CMR,en,NM,false,Legacy,20251205,1718,Bladegriff Prototype - CMR - en - NM - 20251205_154839.jpg,available,2.29,FrancoArenas,56990590045,cardkingdom
429,Bladegriff Prototype,CMR,en,NM,false,Legacy,20251205,1718,Bladegriff Prototype - CMR - en - NM - 20251205_154842.jpg,available,2.29,FrancoArenas,56990590045,cardkingdom
801,Bloodtithe Harvester,VOW,en,NM,false,Modern,20251205,500,Bloodtithe Harvester - VOW - en - NM - 20251205_235644.jpg,available,0.35,FrancoArenas,56990590045,cardkingdom
